pps,bps,avg_size,tcp_ratio,udp_ratio,icmp_ratio,label
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
447,668051,1494.52,0.02,0.0,0.02,1
7,2175,310.71,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
442,665172,1504.91,0.0,0.0,0.02,1
6,2109,351.5,1.0,0.0,0.0,1
445,667919,1500.94,0.01,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
445,667931,1500.97,0.01,0.0,0.02,1
5,2043,408.6,1.0,0.0,0.0,1
443,665220,1501.63,0.01,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
447,668051,1494.52,0.02,0.0,0.02,1
7,2175,310.71,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
443,665769,1502.86,0.0,0.01,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
447,668051,1494.52,0.02,0.0,0.02,1
7,2175,310.71,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
447,668051,1494.52,0.02,0.0,0.02,1
7,2175,310.71,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
19,3732,196.42,0.37,0.63,0.0,1
447,668051,1494.52,0.02,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
6,1728,288.0,0.0,1.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
440,665040,1511.45,0.0,0.0,0.02,1
447,668051,1494.52,0.02,0.0,0.02,1
7,2175,310.71,1.0,0.0,0.0,1
440,665040,1511.45,0.0,0.0,0.02,1
5447,5806502,1066.0,0.0,1.0,0.0,1
5165,5505890,1066.0,0.0,1.0,0.0,1
5194,5536804,1066.0,0.0,1.0,0.0,1
5043,5375838,1066.0,0.0,1.0,0.0,1
77,45430,590.0,0.0,0.0,1.0,1
5453,5812898,1066.0,0.0,1.0,0.0,1
5172,5513352,1066.0,0.0,1.0,0.0,1
100,59000,590.0,0.0,0.0,1.0,1
5131,5469646,1066.0,0.0,1.0,0.0,1
100,59000,590.0,0.0,0.0,1.0,1
5347,5699902,1066.0,0.0,1.0,0.0,1
5167,5508022,1066.0,0.0,1.0,0.0,1
100,59000,590.0,0.0,0.0,1.0,1
5525,5889650,1066.0,0.0,1.0,0.0,1
5429,5787314,1066.0,0.0,1.0,0.0,1
5130,5468580,1066.0,0.0,1.0,0.0,1
91,53690,590.0,0.0,0.0,1.0,1
5126,5464316,1066.0,0.0,1.0,0.0,1
5198,5541068,1066.0,0.0,1.0,0.0,1
4919,5243654,1066.0,0.0,1.0,0.0,1
103,59186,574.62,0.03,0.0,0.97,1
5205,5548530,1066.0,0.0,1.0,0.0,1
5278,5626348,1066.0,0.0,1.0,0.0,1
4686,4995276,1066.0,0.0,1.0,0.0,1
143,84370,590.0,0.0,0.0,1.0,1
4732,5044312,1066.0,0.0,1.0,0.0,1
100,59000,590.0,0.0,0.0,1.0,1
5193,5535738,1066.0,0.0,1.0,0.0,1
5142,5481372,1066.0,0.0,1.0,0.0,1
5250,5596500,1066.0,0.0,1.0,0.0,1
4960,5287360,1066.0,0.0,1.0,0.0,1
77,45430,590.0,0.0,0.0,1.0,1
5108,5445128,1066.0,0.0,1.0,0.0,1
5160,5500560,1066.0,0.0,1.0,0.0,1
5212,5555992,1066.0,0.0,1.0,0.0,1
5190,5532540,1066.0,0.0,1.0,0.0,1
4993,5322538,1066.0,0.0,1.0,0.0,1
5238,5583708,1066.0,0.0,1.0,0.0,1
360,23760,66.0,1.0,0.0,0.0,1
360,21600,60.0,1.0,0.0,0.0,1
360,23760,66.0,1.0,0.0,0.0,1
358,21480,60.0,1.0,0.0,0.0,1
362,21720,60.0,1.0,0.0,0.0,1
380,25080,66.0,1.0,0.0,0.0,1
367,24611,67.06,1.0,0.0,0.0,1
360,23760,66.0,1.0,0.0,0.0,1
7,2175,310.71,1.0,0.0,0.0,1
360,23760,66.0,1.0,0.0,0.0,1
360,21600,60.0,1.0,0.0,0.0,1
380,25080,66.0,1.0,0.0,0.0,1
400,24000,60.0,1.0,0.0,0.0,1
378,24948,66.0,1.0,0.0,0.0,1
