pps,bps,avg_size,tcp_ratio,udp_ratio,icmp_ratio,label
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,0
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,1
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,0
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,1
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,0
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,1
445,665554,1495.6269662921347,0.011235955056179775,0.0,0.02247191011235955,0
6,620,103.33333333333333,1.0,0.0,0.0,0
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,1
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,0
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,1
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,0
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,1
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,0
6,620,103.33333333333333,1.0,0.0,0.0,0
445,665554,1495.6269662921347,0.011235955056179775,0.0,0.02247191011235955,0
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,1
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,1
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,0
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,1
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,0
405,612162,1511.5111111111112,0.0,0.0,0.024691358024691357,1
431,651526,1511.661252900232,0.0,0.0,0.02320185614849188,0
405,612050,1511.2345679012346,0.0,0.0,0.022222222222222223,0
432,652928,1511.4074074074074,0.0,0.0,0.023148148148148147,1
439,663526,1511.4487471526195,0.0,0.0,0.02050113895216401,1
445,665554,1495.6269662921347,0.011235955056179775,0.0,0.02247191011235955,0
6,620,103.33333333333333,1.0,0.0,0.0,0
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,1
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,0
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,1
441,665630,1509.3650793650793,0.0,0.0,0.024943310657596373,0
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,1
445,665554,1495.6269662921347,0.011235955056179775,0.0,0.02247191011235955,0
6,620,103.33333333333333,1.0,0.0,0.0,0
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,1
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,0
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,1
440,665040,1511.4545454545455,0.0,0.0,0.022727272727272728,0
4933,5258578,1066.0,0.0,1.0,0.0,1
137,80830,590.0,0.0,0.0,1.0,0
1,66,66.0,1.0,0.0,0.0,0
5280,5628480,1066.0,0.0,1.0,0.0,1
2,322,161.0,1.0,0.0,0.0,0
2,120,60.0,1.0,0.0,0.0,0
5438,5796908,1066.0,0.0,1.0,0.0,1
5446,5805436,1066.0,0.0,1.0,0.0,1
5527,5891782,1066.0,0.0,1.0,0.0,1
5505,5868330,1066.0,0.0,1.0,0.0,1
5443,5802238,1066.0,0.0,1.0,0.0,1
1,308,308.0,1.0,0.0,0.0,0
5481,5842746,1066.0,0.0,1.0,0.0,1
5470,5831020,1066.0,0.0,1.0,0.0,1
1,342,342.0,0.0,1.0,0.0,0
1,66,66.0,1.0,0.0,0.0,0
5484,5845944,1066.0,0.0,1.0,0.0,1
5412,5769192,1066.0,0.0,1.0,0.0,1
5410,5767060,1066.0,0.0,1.0,0.0,1
5401,5757466,1066.0,0.0,1.0,0.0,1
1,66,66.0,1.0,0.0,0.0,0
5315,5665790,1066.0,0.0,1.0,0.0,1
5427,5785182,1066.0,0.0,1.0,0.0,1
5079,5414214,1066.0,0.0,1.0,0.0,1
91,53690,590.0,0.0,0.0,1.0,0
5219,5563454,1066.0,0.0,1.0,0.0,1
24,14160,590.0,0.0,0.0,1.0,0
5011,5341726,1066.0,0.0,1.0,0.0,1
100,59000,590.0,0.0,0.0,1.0,0
5108,5445128,1066.0,0.0,1.0,0.0,1
50,29500,590.0,0.0,0.0,1.0,0
5139,5478174,1066.0,0.0,1.0,0.0,1
5023,5354518,1066.0,0.0,1.0,0.0,1
5061,5395026,1066.0,0.0,1.0,0.0,1
4980,5308680,1066.0,0.0,1.0,0.0,1
4935,5260710,1066.0,0.0,1.0,0.0,1
4,2360,590.0,0.0,0.0,1.0,0
4924,5248984,1066.0,0.0,1.0,0.0,1
4720,5031520,1066.0,0.0,1.0,0.0,1
100,59000,590.0,0.0,0.0,1.0,0
4811,5128526,1066.0,0.0,1.0,0.0,1
4810,5127460,1066.0,0.0,1.0,0.0,1
29,16580,571.7241379310345,0.034482758620689655,0.0,0.9655172413793104,0
4769,5083754,1066.0,0.0,1.0,0.0,1
4718,5029388,1066.0,0.0,1.0,0.0,1
2942,183588,62.40244731475187,1.0,0.0,0.0,1
2352,148206,63.01275510204081,1.0,0.0,0.0,0
1,77,77.0,0.0,1.0,0.0,0
3122,194856,62.41383728379244,1.0,0.0,0.0,1
2492,157234,63.09550561797753,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
3420,213456,62.4140350877193,1.0,0.0,0.0,1
2728,171816,62.98240469208211,1.0,0.0,0.0,0
2343,147648,63.01664532650448,1.0,0.0,0.0,0
2943,183630,62.39551478083588,1.0,0.0,0.0,1
2389,150540,63.01381331100879,1.0,0.0,0.0,0
2991,186642,62.401203610832496,1.0,0.0,0.0,1
3698,230778,62.40616549486209,1.0,0.0,0.0,1
2950,186064,63.07254237288136,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
1,384,384.0,0.0,1.0,0.0,0
2618,164976,63.01604278074866,1.0,0.0,0.0,0
3288,205218,62.41423357664234,1.0,0.0,0.0,1
3385,211218,62.398227474150666,1.0,0.0,0.0,1
2700,170332,63.08592592592593,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
3386,211284,62.39929119905493,1.0,0.0,0.0,1
2690,169536,63.02453531598513,1.0,0.0,0.0,0
3765,234960,62.40637450199203,1.0,0.0,0.0,1
3010,189588,62.986046511627904,1.0,0.0,0.0,0
3018,190128,62.99801192842942,1.0,0.0,0.0,0
3775,235638,62.42066225165563,1.0,0.0,0.0,1
3658,228282,62.406232914160746,1.0,0.0,0.0,1
2916,183934,63.07750342935528,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
3343,208620,62.40502542626383,1.0,0.0,0.0,1
2660,167628,63.018045112781955,1.0,0.0,0.0,0
2852,179658,62.993688639551195,1.0,0.0,0.0,0
3563,222360,62.4080830760595,1.0,0.0,0.0,1
1,342,342.0,0.0,1.0,0.0,0
3522,219786,62.40374787052811,1.0,0.0,0.0,1
2803,176610,63.00749197288619,1.0,0.0,0.0,0
3130,195372,62.41916932907348,1.0,0.0,0.0,1
2513,158548,63.09112614405093,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
3180,198444,62.40377358490566,1.0,0.0,0.0,1
2527,159174,62.989315393747525,1.0,0.0,0.0,0
1,342,342.0,0.0,1.0,0.0,0
2910,181734,62.45154639175258,1.0,0.0,0.0,1
2333,147052,63.03129018431204,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
1,384,384.0,0.0,1.0,0.0,0
2938,183354,62.40776038121171,1.0,0.0,0.0,1
2341,147528,63.0192225544639,1.0,0.0,0.0,0
2608,164274,62.98849693251534,1.0,0.0,0.0,0
3262,203526,62.39301042305334,1.0,0.0,0.0,1
3176,198216,62.41057934508816,1.0,0.0,0.0,1
2535,159732,63.010650887573966,1.0,0.0,0.0,0
3358,209610,62.42108397855866,1.0,0.0,0.0,1
2684,169300,63.07749627421759,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
2960,184716,62.40405405405406,1.0,0.0,0.0,1
2362,148812,63.00254022015241,1.0,0.0,0.0,0
1596,100464,62.94736842105263,1.0,0.0,0.0,0
1999,124572,62.31715857928965,1.0,0.0,0.0,1
1,342,342.0,0.0,1.0,0.0,0
12,1919,159.91666666666666,0.5,0.5,0.0,0
5,514,102.8,1.0,0.0,0.0,0
12,2778,231.5,0.0,1.0,0.0,0
5,312,62.4,1.0,0.0,0.0,1
9,766,85.11111111111111,1.0,0.0,0.0,0
6,620,103.33333333333333,1.0,0.0,0.0,0
5,312,62.4,1.0,0.0,0.0,1
4,252,63.0,1.0,0.0,0.0,0
3,729,243.0,0.0,1.0,0.0,0
5389,5744674,1066.0,0.0,1.0,0.0,1
5,1404,280.8,0.0,1.0,0.0,0
5073,5427418,1069.8635915631776,0.0,0.9913266311847033,0.00019712201852946975,1
44,66504,1511.4545454545455,0.0,0.0,0.022727272727272728,0
5268,5615688,1066.0,0.0,1.0,0.0,1
44,66504,1511.4545454545455,0.0,0.0,0.022727272727272728,0
5348,5720568,1069.6649214659685,0.0,0.9917726252804787,0.00018698578908002991,1
10,5900,590.0,0.0,0.0,1.0,0
5289,5638074,1066.0,0.0,1.0,0.0,1
5379,5734014,1066.0,0.0,1.0,0.0,1
1,590,590.0,0.0,0.0,1.0,0
5308,5658328,1066.0,0.0,1.0,0.0,1
44,66504,1511.4545454545455,0.0,0.0,0.022727272727272728,0
5095,5431270,1066.0,0.0,1.0,0.0,1
5370,5724420,1066.0,0.0,1.0,0.0,1
1,66,66.0,1.0,0.0,0.0,0
5258,5605028,1066.0,0.0,1.0,0.0,1
33,49962,1514.0,0.0,0.0,0.030303030303030304,0
5405,5761730,1066.0,0.0,1.0,0.0,1
5418,5775588,1066.0,0.0,1.0,0.0,1
1,590,590.0,0.0,0.0,1.0,0
